labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
1000,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.556,0.561,0.552,2,"[49, 13, 1, 37]",0.626,0.67,0.587,2,"[45, 6, 5, 44]",0.598,0.709,0.517,2,"[44, 5, 6, 45]",0.593,0.029,0.647,0.063,0.552,0.029
1100,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.58,0.602,0.56,2,"[46, 10, 4, 40]",0.622,0.642,0.602,2,"[48, 7, 2, 43]",0.583,0.728,0.486,2,"[45, 10, 5, 40]",0.595,0.019,0.657,0.053,0.549,0.048
1200,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.559,0.624,0.506,2,"[49, 10, 1, 40]",0.635,0.632,0.637,2,"[49, 5, 1, 45]",0.631,0.7,0.575,2,"[49, 6, 1, 44]",0.608,0.035,0.652,0.034,0.573,0.054
1300,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.566,0.63,0.514,2,"[47, 17, 3, 33]",0.609,0.641,0.579,2,"[47, 5, 3, 45]",0.657,0.717,0.606,2,"[47, 8, 3, 42]",0.611,0.037,0.663,0.039,0.566,0.039
1400,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.614,0.659,0.575,2,"[48, 11, 2, 39]",0.651,0.731,0.587,2,"[50, 9, 0, 41]",0.66,0.718,0.61,2,"[48, 6, 2, 44]",0.642,0.02,0.703,0.031,0.591,0.015
1500,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.6,0.652,0.556,2,"[50, 11, 0, 39]",0.659,0.772,0.575,2,"[49, 4, 1, 46]",0.66,0.74,0.595,2,"[47, 6, 3, 44]",0.64,0.028,0.721,0.051,0.575,0.016
1600,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.604,0.661,0.556,2,"[49, 6, 1, 44]",0.667,0.765,0.591,2,"[48, 8, 2, 42]",0.613,0.753,0.517,2,"[49, 5, 1, 45]",0.628,0.028,0.726,0.046,0.555,0.03
1700,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.64,0.677,0.606,2,"[50, 10, 0, 40]",0.661,0.716,0.614,2,"[48, 4, 2, 46]",0.643,0.742,0.568,2,"[50, 6, 0, 44]",0.648,0.009,0.712,0.027,0.596,0.02
1800,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.643,0.705,0.591,2,"[50, 9, 0, 41]",0.664,0.712,0.622,2,"[49, 7, 1, 43]",0.655,0.73,0.595,2,"[49, 6, 1, 44]",0.654,0.009,0.716,0.011,0.603,0.014
1900,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.642,0.727,0.575,2,"[49, 4, 1, 46]",0.69,0.742,0.645,2,"[48, 4, 2, 46]",0.645,0.785,0.548,2,"[48, 6, 2, 44]",0.659,0.022,0.751,0.025,0.589,0.041
2000,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.668,0.722,0.622,2,"[50, 3, 0, 47]",0.668,0.738,0.61,2,"[49, 6, 1, 44]",0.681,0.741,0.629,2,"[50, 4, 0, 46]",0.672,0.006,0.734,0.008,0.62,0.008
